Profit,Date
250.0,2017-01-03 16:00:00
-102.5,2017-01-12 00:00:00
253.68750000000003,2017-01-13 08:00:00
-104.01187500000002,2017-01-13 16:00:00
-102.97175625,2017-01-19 16:00:00
-101.94203868749999,2017-01-26 20:00:00
-100.92261830062498,2017-01-30 00:00:00
-99.91339211761874,2017-02-01 00:00:00
-98.91425819644256,2017-02-07 20:00:00
244.8127890361953,2017-02-21 16:00:00
-100.37324350484009,2017-03-09 16:00:00
-99.36951106979168,2017-03-13 00:00:00
-98.37581595909376,2017-03-14 00:00:00
243.48014449875706,2017-03-16 12:00:00
249.56714811122598,2017-03-22 00:00:00
-102.32253072560265,2017-03-23 20:00:00
-101.29930541834662,2017-03-30 00:00:00
250.71578091040786,2017-04-03 00:00:00
256.9836754331681,2017-04-18 00:00:00
-105.36330692759891,2017-04-19 00:00:00
-104.30967385832294,2017-04-26 00:00:00
-103.26657711973971,2017-04-26 20:00:00
255.58477837135445,2017-05-30 00:00:00
261.97439783063913,2017-06-05 08:00:00
268.5237577764056,2017-06-09 00:00:00
275.23685172081576,2017-06-12 16:00:00
-112.84710920553447,2017-06-15 20:00:00
-111.71863811347913,2017-06-19 00:00:00
276.5036293308615,2017-06-19 16:00:00
-113.36648802565294,2017-06-22 20:00:00
-112.23282314539642,2017-06-27 20:00:00
-111.11049491394246,2017-07-04 00:00:00
-109.99938996480303,2017-07-05 00:00:00
272.24849016289136,2017-07-07 00:00:00
279.05470241695866,2017-07-07 08:00:00
-114.41242799095349,2017-07-12 20:00:00
-113.26830371104397,2017-07-14 00:00:00
-112.13562067393352,2017-07-27 00:00:00
-111.0142644671942,2017-08-02 04:00:00
-109.90412182252226,2017-08-03 00:00:00
-108.80508060429702,2017-08-08 00:00:00
-107.71702979825405,2017-08-08 20:00:00
266.59964875068385,2017-08-21 00:00:00
-109.30585598777834,2017-08-22 20:00:00
270.53199356974284,2017-09-04 00:00:00
-110.91811736359797,2017-09-05 20:00:00
-109.80893618996198,2017-09-07 00:00:00
-108.71084682806237,2017-09-14 00:00:00
-107.62373835978175,2017-09-21 00:00:00
-106.54750097618393,2017-09-29 04:00:00
-105.4820259664221,2017-10-03 00:00:00
-104.42720570675787,2017-10-06 00:00:00
-103.3829336496903,2017-10-12 00:00:00
-102.34910431319338,2017-10-31 04:00:00
-101.32561327006147,2017-11-08 04:00:00
-100.31235713736085,2017-11-10 00:00:00
248.27308391496717,2017-11-10 16:00:00
