Time	Open	High	Low	Close	Volume	Spread
2010-01-29 20:00:00	90.29	90.34	90.22	90.26	21897	10
2010-01-31 20:00:00	89.875	90.285	89.85	90.245	11293	39
2010-02-01 00:00:00	90.24	90.38	89.99	90.08	46430	11
2010-02-01 04:00:00	90.08	90.44	90.04	90.34	72424	8
2010-02-01 08:00:00	90.34	90.47	90.19	90.23	68122	9
2010-02-01 12:00:00	90.23	90.88	90.14	90.77	94204	9
2010-02-01 16:00:00	90.77	90.945	90.625	90.635	70743	9
2010-02-01 20:00:00	90.64	90.835	90.585	90.77	34205	9
2010-02-02 00:00:00	90.77	90.91	90.655	90.7	54627	8
2010-02-02 04:00:00	90.7	90.85	90.575	90.715	65333	9
2010-02-02 08:00:00	90.715	90.82	90.47	90.61	102045	9
2010-02-02 12:00:00	90.61	90.72	90.265	90.34	119008	11
2010-02-02 16:00:00	90.34	90.42	90.285	90.35	81229	8
2010-02-02 20:00:00	90.355	90.465	90.315	90.445	30323	14
2010-02-03 00:00:00	90.445	90.555	90.3	90.44	62318	10
2010-02-03 04:00:00	90.445	90.52	90.31	90.38	63491	9
2010-02-03 08:00:00	90.38	90.595	90.075	90.565	123122	7
2010-02-03 12:00:00	90.565	91.11	90.565	90.95	135162	8
2010-02-03 16:00:00	90.95	91.275	90.915	90.975	95087	8
2010-02-03 20:00:00	90.975	91.05	90.835	90.85	34983	11
2010-02-04 00:00:00	90.85	91.055	90.79	90.92	52373	11
2010-02-04 04:00:00	90.92	91.045	90.845	91.015	56081	9
2010-02-04 08:00:00	91.015	91.075	90.58	90.835	94173	9
2010-02-04 12:00:00	90.835	90.875	90.315	90.33	114993	9
2010-02-04 16:00:00	90.33	90.37	88.55	89.19	94094	9
2010-02-04 20:00:00	89.19	89.43	88.86	89.37	42747	11
2010-02-05 00:00:00	89.375	89.77	89.33	89.665	59647	12
2010-02-05 04:00:00	89.66	89.77	89.335	89.515	67134	12
2010-02-05 08:00:00	89.515	89.71	89.335	89.51	104713	8
2010-02-05 12:00:00	89.51	89.885	89.055	89.375	112586	9
2010-02-05 16:00:00	89.36	89.475	88.815	89.17	102582	8
2010-02-05 20:00:00	89.17	89.44	89.16	89.22	28542	13
2010-02-07 20:00:00	89.485	89.485	89.14	89.26	11389	41
2010-02-08 00:00:00	89.26	89.445	89.21	89.29	56790	10
2010-02-08 04:00:00	89.29	89.495	89.23	89.405	75471	8
2010-02-08 08:00:00	89.405	89.56	89.21	89.315	109740	9
2010-02-08 12:00:00	89.315	89.42	89.145	89.24	99861	9
2010-02-08 16:00:00	89.24	89.38	89.235	89.35	83982	11
2010-02-08 20:00:00	89.355	89.37	89.145	89.225	30755	10
2010-02-09 00:00:00	89.225	89.49	89.215	89.405	88420	13
2010-02-09 04:00:00	89.405	89.64	89.355	89.55	93229	10
2010-02-09 08:00:00	89.55	89.73	89.48	89.65	98753	10
2010-02-09 12:00:00	89.65	89.805	89.31	89.38	127044	8
2010-02-09 16:00:00	89.38	89.75	89.35	89.63	90990	10
2010-02-09 20:00:00	89.63	89.935	89.545	89.805	38745	11
